Month,Year,Categories,Amount,Page number,Type of Category
September,1855,"Drains,vaults,nuisances reported",18,50,Public Service
September,1855,Fires extinguished by officers without alarms,1,50,Public Service
September,1855,Stray Teams Put up,5,50,Public Service
September,1855,Lost children returned,8,50,Public Service
September,1855,Injured persons provided for,6,50,Public Service
September,1855,Coalhole covers unsafe reported,0,50,Public Service
September,1855,Persons Rescued from Drowning,0,50,Public Service
September,1855,Streets repair requested ,15,50,Public Service
September,1855,Disturbances Suppressed,151,50,Public Service
September,1855,Water Pipes burst secured,4,50,Public Service
September,1855,Assaults and Battery,36,50,Offences
September,1855,Attempt to rescue prisoners,1,50,Offences
September,1855,Breaking and Entering,5,50,Offences
September,1855,City Ordinance Violations,2,50,Offences
September,1855,Common Drunkenness (drunkards),35,50,Offences
September,1855,Common Night Walkers,21,50,Offences
September,1855,Common Beggars,2,50,Offences
September,1855,Disturbing the Peace,3,50,Offences
September,1855,Drunkenness (Simple),173,50,Offences
September,1855,Fornication,2,50,Offences
September,1855,Insane,2,50,Offences
September,1855,Idle & dissolute persons,7,50,Offences
September,1855,Keeping a Nuisance,1,50,Offences
September,1855,Larceny (simple),17,50,Offences
September,1855,Larceny from persons etc,11,50,Offences
September,1855,Malicious mischief,3,50,Offences
September,1855,Keeping Noisy & Disorderly Houses,4,50,Offences
September,1855,Noisy and disorderly persons,51,50,Offences
September,1855,Sunday Law Violations,5,50,Offences
September,1855,Stubborn & Truant Children,4,50,Offences
September,1855,Vagabonds,8,50,Offences
September,1855,Witnesses detained,3,50,Offences
September,1855,Amt property restored to prisoners (in $),864.52,50,Station and Court-related
September,1855,Amt property stolen on station (in $),404.5,50,Station and Court-related
September,1855,Stolen Property Recovered (in $),217.27,50,Station and Court-related
September,1855,No. of larcenies on station,26,50,Offences
September,1855,No. of arrests for larcenies on station,20,50,Offences
September,1855,Days time spent in court,225,50,Station and Court-related
September,1855,Amt Witness fees has earned in court (in $),378.75,50,Station and Court-related
September,1855,Amt fines imposed on Prisoners (in $),783,50,Station and Court-related
September,1855,Years imprisonment imposed on convicts,73.67,50,Station and Court-related
September,1855,Cases reported for grand jury,5,50,Station and Court-related
October,1855,Lodging (Males),105,51,Demographics
October,1855,Lodging (Females),69,51,Demographics
October,1855,Lodging (Residents),64,51,Demographics
October,1855,Lodging (Non-residents),110,51,Demographics
October,1855,Lodging (Americans),36,51,Demographics
October,1855,Lodging (Foreigners),138,51,Demographics
October,1855,Lodging (Minor),20,51,Demographics
October,1855,Arrests (Males),291,51,Demographics
October,1855,Arrests (Females),102,51,Demographics
October,1855,Arrests (Americans),59,51,Demographics
October,1855,Arrests (Foreigners),334,51,Demographics
October,1855,Arrests (Residents),292,51,Demographics
October,1855,Arrests (Non-residents),101,51,Demographics
October,1855,Arrests (Minor),77,51,Demographics
October,1855,Arrests (Commitments),313,51,Demographics
October,1855,Streets repair requested ,8,51,Public Service
October,1855,Street Obstructions Removed,11,51,Public Service
October,1855,Sidewalks repaired,11,51,Public Service
October,1855,"Drains,vaults,nuisances reported",4,51,Public Service
October,1855,Water Wasting Reported,2,51,Public Service
October,1855,Stray Teams Put up,13,51,Public Service
October,1855,Stores found open and secured ,25,51,Public Service
October,1855,Injured persons provided for,2,51,Public Service
October,1855,Lost children returned,1,51,Public Service
October,1855,Defective Street Lamps Repaired/Reported,8,51,Public Service
October,1855,Defective Street Lamps Repaired/Reported,,51,Public Service
October,1855,Dangerous buildings reported/secured,6,51,Public Service
October,1855,Persons Rescued from Drowning,1,51,Public Service
October,1855,Disturbances Suppressed,142,51,Public Service
October,1855,Assaults and Battery,23,51,Offences
October,1855,Burglary,1,51,Offences
October,1855,Breaking and Entering,4,51,Offences
October,1855,Common Drunkenness (drunkards),28,51,Offences
October,1855,City Ordinance Violations,5,51,Offences
October,1855,Counterfeit money passing,3,51,Offences
October,1855,Common Night Walkers,33,51,Offences
October,1855,Drunkenness (Simple),158,51,Offences
October,1855,Disturbing the Peace,9,51,Offences
October,1855,Fornication,2,51,Offences
October,1855,Highway robbery,3,51,Offences
October,1855,Insane,1,51,Offences
October,1855,Idle & dissolute persons,2,51,Offences
October,1855,Keeping Houses of Ill Fame,5,51,Offences
October,1855,Larceny (simple),14,51,Offences
October,1855,Larceny from persons etc,11,51,Offences
October,1855,Model artists,2,51,Offences
October,1855,Malicious mischief,3,51,Offences
October,1855,Noisy and disorderly persons,69,51,Offences
October,1855,Pickpockets,1,51,Offences
October,1855,Possessing sling shot,1,51,Offences
October,1855,Sunday Law Violations,4,51,Offences
October,1855,Vagabonds,5,51,Offences
October,1855,Witnesses detained,4,51,Offences
October,1855,Amt property restored to prisoners (in $),571.29,51,Station and Court-related
October,1855,Amt property stolen on station (in $),316.25,51,Station and Court-related
October,1855,Stolen Property Recovered (in $),296.64,51,Station and Court-related
October,1855,No. of larcenies on station,28,51,Offences
October,1855,No. of arrests for larcenies on station,24,51,Offences
October,1855,Amt fines imposed on Prisoners (in $),749,51,Station and Court-related
October,1855,Years imprisonment imposed on convicts,40.25,51,Station and Court-related
October,1855,Days time spent in court,202.3,51,Station and Court-related
October,1855,Amt Witness fees has earned in court (in $),351.92,51,Station and Court-related
October,1855,Cases reported for grand jury,5,51,Station and Court-related
November,1855,Lodging (Males),95,52,Demographics
November,1855,Lodging (Females),63,52,Demographics
November,1855,Lodging (Americans),34,52,Demographics
November,1855,Lodging (Foreigners),124,52,Demographics
November,1855,Lodging (Residents),70,52,Demographics
November,1855,Lodging (Non-residents),88,52,Demographics
November,1855,Lodging (Minor),25,52,Demographics
November,1855,Arrests (Males),341,52,Demographics
November,1855,Arrests (Females),90,52,Demographics
November,1855,Arrests (Americans),52,52,Demographics
November,1855,Arrests (Foreigners),379,52,Demographics
November,1855,Arrests (Residents),214,52,Demographics
November,1855,Arrests (Non-residents),215,52,Demographics
November,1855,Arrests (Minor),77,52,Demographics
November,1855,Arrests (Commitments),318,52,Demographics
November,1855,Streets repair requested ,2,52,Public Service
November,1855,Street Obstructions Removed,4,52,Public Service
November,1855,Sidewalks repaired,17,52,Public Service
November,1855,"Drains,vaults,nuisances reported",10,52,Public Service
November,1855,Water Wasting Reported,2,52,Public Service
November,1855,Stray Teams Put up,5,52,Public Service
November,1855,Stores found open and secured ,33,52,Public Service
November,1855,Injured persons provided for,14,52,Public Service
November,1855,Lost children returned,2,52,Public Service
November,1855,Fires extinguished by officers without alarms,1,52,Public Service
November,1855,Dangerous buildings reported/secured,2,52,Public Service
November,1855,Persons Rescued from Drowning,3,52,Public Service
November,1855,Defective Street Lamps Repaired/Reported,4,52,Public Service
November,1855,Defective Street Lamps Repaired/Reported,4,52,Public Service
November,1855,Disturbances Suppressed,118,52,Public Service
November,1855,Assaults and Battery,23,52,Offences
November,1855,Bigamy,1,52,Offences
November,1855,Burglary,5,52,Offences
November,1855,Common Drunkenness (drunkards),28,52,Offences
November,1855,Common Night Walkers,8,52,Offences
November,1855,City Ordinance Violations,4,52,Offences
November,1855,Drunkenness (Simple),181,52,Offences
November,1855,Disturbing the Peace,5,52,Offences
November,1855,Escaped Convicts,1,52,Offences
November,1855,Fornication,4,52,Offences
November,1855,Idle & dissolute persons,2,52,Offences
November,1855,Insane,3,52,Offences
November,1855,Keeping Houses of Ill Fame,8,52,Offences
November,1855,Keeping Noisy & Disorderly Houses,2,52,Offences
November,1855,Larceny (simple),24,52,Offences
November,1855,Larceny from persons etc,14,52,Offences
November,1855,Maiming,1,52,Offences
November,1855,Noisy and disorderly persons,84,52,Offences
November,1855,Pickpockets,3,52,Offences
November,1855,Possessing burglar tools,1,52,Offences
November,1855,Robbery,4,52,Offences
November,1855,Sunday Law Violations,2,52,Offences
November,1855,Stealing a Ride,4,52,Offences
November,1855,Vagrancy,7,52,Offences
November,1855,Witnesses detained,8,52,Offences
November,1855,Amt property restored to prisoners (in $),1199.15,52,Station and Court-related
November,1855,Stolen Property Recovered (in $),536.34,52,Station and Court-related
November,1855,Amt property stolen on station (in $),643.44,52,Station and Court-related
November,1855,No. of larcenies on station,28,52,Offences
November,1855,No. of arrests for larcenies on station,32,52,Offences
November,1855,Amt fines imposed on Prisoners (in $),1166,52,Station and Court-related
November,1855,Years imprisonment imposed on convicts,32.42,52,Station and Court-related
November,1855,Days time spent in court,208,52,Station and Court-related
November,1855,Amt Witness fees has earned in court (in $),360.79,52,Station and Court-related
November,1855,Cases reported for grand jury,4,52,Station and Court-related
December,1855,Lodging (Males),115,53,Demographics
December,1855,Lodging (Females),64,53,Demographics
December,1855,Lodging (Americans),25,53,Demographics
December,1855,Lodging (Foreigners),154,53,Demographics
December,1855,Lodging (Residents),82,53,Demographics
December,1855,Lodging (Non-residents),97,53,Demographics
December,1855,Lodging (Minor),28,53,Demographics
December,1855,Arrests (Males),273,53,Demographics
December,1855,Arrests (Females),104,53,Demographics
December,1855,Arrests (Americans),47,53,Demographics
December,1855,Arrests (Foreigners),334,53,Demographics
December,1855,Arrests (Residents),277,53,Demographics
December,1855,Arrests (Non-residents),100,53,Demographics
December,1855,Arrests (Minor),87,53,Demographics
December,1855,Arrests (Commitments),224,53,Demographics
December,1855,Streets repair requested ,1,53,Public Service
December,1855,Street Obstructions Removed,4,53,Public Service
December,1855,Sidewalks repaired,13,53,Public Service
December,1855,"Drains,vaults,nuisances reported",7,53,Public Service
December,1855,Stray Teams Put up,6,53,Public Service
December,1855,Stores found open and secured ,17,53,Public Service
December,1855,Injured persons provided for,5,53,Public Service
December,1855,Lost children returned,2,53,Public Service
December,1855,Defective Street Lamps Repaired/Reported,3,53,Public Service
December,1855,Defective Street Lamps Repaired/Reported,3,53,Public Service
December,1855,Dangerous buildings reported/secured,4,53,Public Service
December,1855,Number of fires on the station,6,53,Public Service
December,1855,Fires alarms given by officers,3,53,Public Service
December,1855,Fires extinguished by officers without alarms,1,53,Public Service
December,1855,Disturbances Suppressed,120,53,Public Service
December,1855,Assaults and Battery,25,53,Offences
December,1855,Assaults on Officers,1,53,Offences
December,1855,Attempt to kill,1,53,Offences
December,1855,Breaking and Entering,2,53,Offences
December,1855,Burglary,1,53,Offences
December,1855,Cruelty to Animals,1,53,Offences
December,1855,Common Drunkenness (drunkards),11,53,Offences
December,1855,Common Night Walkers,19,53,Offences
December,1855,Counterfeit money passing,1,53,Offences
December,1855,Drunkenness (Simple),112,53,Offences
December,1855,Disturbing the Peace,5,53,Offences
December,1855,Gaming,2,53,Offences
December,1855,Insane,4,53,Offences
December,1855,Keeping Noisy & Disorderly Houses,1,53,Offences
December,1855,Keeping Houses of Ill Fame,6,53,Offences
December,1855,Larceny (simple),33,53,Offences
December,1855,Larceny from persons etc,14,53,Offences
December,1855,Malicious mischief,1,53,Offences
December,1855,Noisy and disorderly persons,122,53,Offences
December,1855,Pickpockets,2,53,Offences
December,1855,Vagabonds,7,53,Offences
December,1855,Witnesses detained,6,53,Offences
December,1855,Amt property restored to prisoners (in $),513.12,53,Station and Court-related
December,1855,Stolen Property Recovered (in $),1337.14,53,Station and Court-related
December,1855,Amt property stolen on station (in $),1413.95,53,Station and Court-related
December,1855,No. of larcenies on station,29,53,Offences
December,1855,No. of arrests for larcenies on station,25,53,Offences
December,1855,Amt fines imposed on Prisoners (in $),495,53,Station and Court-related
December,1855,Years imprisonment imposed on convicts,20.33,53,Station and Court-related
December,1855,Days time spent in court,138.5,53,Station and Court-related
December,1855,Amt Witness fees has earned in court (in $),243.13,53,Station and Court-related
December,1855,Cases reported for grand jury,5,53,Station and Court-related
January,1856,Lodging (Males),169,62,Demographics
January,1856,Lodging (Females),48,62,Demographics
January,1856,Lodging (Residents),93,62,Demographics
January,1856,Lodging (Non-residents),124,62,Demographics
January,1856,Lodging (Americans),32,62,Demographics
January,1856,Lodging (Foreigners),185,62,Demographics
January,1856,Lodging (Minor),40,62,Demographics
January,1856,Arrests (Males),255,62,Demographics
January,1856,Arrests (Females),107,62,Demographics
January,1856,Arrests (Americans),50,62,Demographics
January,1856,Arrests (Foreigners),312,62,Demographics
January,1856,Arrests (Residents),275,62,Demographics
January,1856,Arrests (Non-residents),87,62,Demographics
January,1856,Arrests (Minor),67,62,Demographics
January,1856,Arrests (Commitments),204,62,Demographics
January,1856,Street Obstructions Removed,4,62,Public Service
January,1856,Streets repair requested ,8,62,Public Service
January,1856,"Drains,vaults,nuisances reported",2,62,Public Service
January,1856,Stores found open and secured ,20,62,Public Service
January,1856,Injured persons provided for,7,62,Public Service
January,1856,Defective Street Lamps Repaired/Reported,10,62,Public Service
January,1856,Stray Teams Put up,15,62,Public Service
January,1856,Number of fires on the station,5,62,Public Service
January,1856,Fires alarms given by officers,3,62,Public Service
January,1856,Fires extinguished by officers without alarms,2,62,Public Service
January,1856,Lost children returned,1,62,Public Service
January,1856,Water Pipes burst secured,12,62,Public Service
January,1856,Sidewalks repaired,7,62,Public Service
January,1856,Dangerous buildings reported/secured,2,62,Public Service
January,1856,Cases investigated for overseers of poor,89,62,Public Service
January,1856,Disturbances Suppressed,104,62,Public Service
January,1856,Cases reported for grand jury,7,62,Station and Court-related
January,1856,Assaults and Battery,26,62,Offences
January,1856,Assaults on Officers,1,62,Offences
January,1856,Attempt to rescue prisoners,2,62,Offences
January,1856,Attempt to kill,1,62,Offences
January,1856,Breaking and Entering,2,62,Offences
January,1856,Burglary,5,62,Offences
January,1856,Common Drunkenness (drunkards),14,62,Offences
January,1856,City Ordinance Violations,3,62,Offences
January,1856,Common Night Walkers,17,62,Offences
January,1856,Drunkenness (Simple),59,62,Offences
January,1856,Disturbing assemblies,1,62,Offences
January,1856,Escaped Convicts,1,62,Offences
January,1856,Fornication,4,62,Offences
January,1856,Fraud,2,62,Offences
January,1856,Highway robbery,4,62,Offences
January,1856,Keeping Houses of Ill Fame,2,62,Offences
January,1856,Larceny (simple),34,62,Offences
January,1856,Larceny from persons etc,9,62,Offences
January,1856,Manslaughter,1,62,Offences
January,1856,Malicious mischief,5,62,Offences
January,1856,Noisy and disorderly persons,137,62,Offences
January,1856,Pickpockets,3,62,Offences
January,1856,Robbery,3,62,Offences
January,1856,Sunday Law Violations,2,62,Offences
January,1856,Stealing a Ride,1,62,Offences
January,1856,Vagabonds,10,62,Offences
January,1856,Witnesses detained,13,62,Offences
January,1856,Amt property stolen on station (in $),479.38,62,Station and Court-related
January,1856,Stolen Property Recovered (in $),747.05,62,Station and Court-related
January,1856,Amt property restored to prisoners (in $),592.04,62,Station and Court-related
January,1856,No. of larcenies on station,34,62,Offences
January,1856,No. of arrests for larcenies on station,33,62,Offences
January,1856,Amt fines imposed on Prisoners (in $),356,62,Station and Court-related
January,1856,Years imprisonment imposed on convicts,"29, 2/3",62,Station and Court-related
January,1856,Amt Witness fees has earned in court (in $),165.62,62,Station and Court-related
January,1856,Days time spent in court,119.5,62,Station and Court-related
February,1856,Lodging (Males),131,63,Demographics
February,1856,Lodging (Females),71,63,Demographics
February,1856,Lodging (Residents),104,63,Demographics
February,1856,Lodging (Non-residents),98,63,Demographics
February,1856,Lodging (Americans),32,63,Demographics
February,1856,Lodging (Foreigners),170,63,Demographics
February,1856,Lodging (Minor),41,63,Demographics
February,1856,Arrests (Males),227,63,Demographics
February,1856,Arrests (Females),102,63,Demographics
February,1856,Arrests (Americans),41,63,Demographics
February,1856,Arrests (Foreigners),298,63,Demographics
February,1856,Arrests (Residents),273,63,Demographics
February,1856,Arrests (Non-residents),66,63,Demographics
February,1856,Arrests (Minor),78,63,Demographics
February,1856,Arrests (Commitments),177,63,Demographics
February,1856,Street Obstructions Removed,5,63,Public Service
February,1856,Streets repair requested ,8,63,Public Service
February,1856,"Drains,vaults,nuisances reported",1,63,Public Service
February,1856,Stores found open and secured ,21,63,Public Service
February,1856,Water Pipes burst secured,4,63,Public Service
February,1856,Sidewalks repaired,12,63,Public Service
February,1856,Stray Teams Put up,4,63,Public Service
February,1856,Defective Street Lamps Repaired/Reported,12,63,Public Service
February,1856,Number of fires on the station,2,63,Public Service
February,1856,Fires alarms given by officers,1,63,Public Service
February,1856,Fires extinguished by officers without alarms,1,63,Public Service
February,1856,Injured persons provided for,4,63,Public Service
February,1856,Lost children returned,1,63,Public Service
February,1856,Cases investigated for overseers of poor,47,63,Public Service
February,1856,Disturbances Suppressed,127,63,Public Service
February,1856,Assaults and Battery,11,63,Offences
February,1856,Attempt to kill,3,63,Offences
February,1856,Burglary,6,63,Offences
February,1856,Begging (beggars),4,63,Offences
February,1856,Common Drunkenness (drunkards),17,63,Offences
February,1856,City Ordinance Violations,10,63,Offences
February,1856,Common Night Walkers,13,63,Offences
February,1856,Drunkenness (Simple),74,63,Offences
February,1856,Fraud,1,63,Offences
February,1856,Idle & dissolute persons,1,63,Offences
February,1856,Keeping Noisy & Disorderly Houses,3,63,Offences
February,1856,Keeping gaming house,1,63,Offences
February,1856,Keeping Houses of Ill Fame,2,63,Offences
February,1856,Larceny (simple),15,63,Offences
February,1856,Larceny from persons etc,24,63,Offences
February,1856,Malicious mischief,1,63,Offences
February,1856,Noisy and disorderly persons,137,63,Offences
February,1856,Pickpockets,3,63,Offences
February,1856,Robbery,1,63,Offences
February,1856,Stubborn & Truant Children,1,63,Offences
February,1856,Vagabonds,6,63,Offences
February,1856,Witnesses detained,4,63,Offences
February,1856,Forgery ,1,63,Offences
February,1856,Amt property restored to prisoners (in $),312.23,63,Station and Court-related
February,1856,Amt property stolen on station (in $),1472.42,63,Station and Court-related
February,1856,Stolen Property Recovered (in $),942.44,63,Station and Court-related
February,1856,No. of larcenies on station,30,63,Offences
February,1856,No. of arrests for larcenies on station,29,63,Offences
February,1856,Amt fines imposed on Prisoners (in $),435,63,Station and Court-related
February,1856,Years imprisonment imposed on convicts,"50,7/12",63,Station and Court-related
February,1856,Amt Witness fees has earned in court (in $),260.16,63,Station and Court-related
February,1856,Days time spent in court,166,63,Station and Court-related
February,1856,Sidewalk openings reported (one time),662,63,Station and Court-related
February,1856,Cases reported for grand jury,3,63,Station and Court-related
March,1856,Lodging (Males),127,64,Demographics
March,1856,Lodging (Females),76,64,Demographics
March,1856,Lodging (Residents),106,64,Demographics
March,1856,Lodging (Non-residents),97,64,Demographics
March,1856,Lodging (Americans),27,64,Demographics
March,1856,Lodging (Foreigners),176,64,Demographics
March,1856,Lodging (Minor),31,64,Demographics
March,1856,Arrests (Males),300,64,Demographics
March,1856,Arrests (Females),138,64,Demographics
March,1856,Arrests (Americans),54,64,Demographics
March,1856,Arrests (Foreigners),284,64,Demographics
March,1856,Arrests (Residents),345,64,Demographics
March,1856,Arrests (Non-residents),93,64,Demographics
March,1856,Arrests (Minor),64,64,Demographics
March,1856,Arrests (Commitments),250,64,Demographics
March,1856,Street Obstructions Removed,2,64,Public Service
March,1856,Streets repair requested ,29,64,Public Service
March,1856,Sidewalks repaired,4,64,Public Service
March,1856,"Drains,vaults,nuisances reported",28,64,Public Service
March,1856,Stores found open and secured ,11,64,Public Service
March,1856,Injured persons provided for,3,64,Public Service
March,1856,Lost children returned,14,64,Public Service
March,1856,Defective Street Lamps Repaired/Reported,7,64,Public Service
March,1856,Stray Teams Put up,1,64,Public Service
March,1856,Fires extinguished by officers without alarms,1,64,Public Service
March,1856,Water Pipes burst secured,9,64,Public Service
March,1856,Disturbances Suppressed,164,64,Public Service
March,1856,Dangerous buildings reported/secured,1,64,Public Service
March,1856,Cases reported for grand jury,10,64,Station and Court-related
March,1856,Assaults and Battery,31,64,Offences
March,1856,Assaults on Officers,1,64,Offences
March,1856,Attempt to kill,2,64,Offences
March,1856,Possessing sling shot,2,64,Offences
March,1856,Common Drunkenness (drunkards),37,64,Offences
March,1856,Common Night Walkers,8,64,Offences
March,1856,City Ordinance Violations,3,64,Offences
March,1856,Counterfeit money passing,1,64,Offences
March,1856,Common Beggars,1,64,Offences
March,1856,Drunkenness (Simple),114,64,Offences
March,1856,Fornication,2,64,Offences
March,1856,Safe keeping for Bondsmen,1,64,Offences
March,1856,Highway robbery,2,64,Offences
March,1856,Keeping Houses of Ill Fame,6,64,Offences
March,1856,Keeping a Nuisance,2,64,Offences
March,1856,Idle & dissolute persons,3,64,Offences
March,1856,Larceny from persons etc,14,64,Offences
March,1856,Larceny (simple),20,64,Offences
March,1856,Lascivious cohabitation,2,64,Offences
March,1856,Malicious mischief,1,64,Offences
March,1856,Noisy and disorderly persons,171,64,Offences
March,1856,Pickpockets,2,64,Offences
March,1856,Vagabonds,8,64,Offences
March,1856,Amt property restored to prisoners (in $),460.88,64,Station and Court-related
March,1856,Amt property stolen on station (in $),556.18,64,Station and Court-related
March,1856,Stolen Property Recovered (in $),366.92,64,Station and Court-related
March,1856,No. of larcenies on station,28,64,Offences
March,1856,No. of arrests for larcenies on station,22,64,Offences
March,1856,Amt fines imposed on Prisoners (in $),579,64,Station and Court-related
March,1856,Years imprisonment imposed on convicts,19.25,64,Station and Court-related
March,1856,Amt Witness fees has earned in court (in $),207.97,64,Station and Court-related
March,1856,Days time spent in court,140,64,Station and Court-related
March,1856,Witnesses detained,4,64,Offences
April,1856,Lodging (Males),133,65,Demographics
April,1856,Lodging (Females),66,65,Demographics
April,1856,Lodging (Americans),25,65,Demographics
April,1856,Lodging (Foreigners),174,65,Demographics
April,1856,Lodging (Residents),81,65,Demographics
April,1856,Lodging (Non-residents),118,65,Demographics
April,1856,Lodging (Minor),31,65,Demographics
April,1856,Arrests (Males),283,65,Demographics
April,1856,Arrests (Females),157,65,Demographics
April,1856,Arrests (Americans),60,65,Demographics
April,1856,Arrests (Foreigners),380,65,Demographics
April,1856,Arrests (Residents),339,65,Demographics
April,1856,Arrests (Non-residents),101,65,Demographics
April,1856,Arrests (Minor),80,65,Demographics
April,1856,Arrests (Commitments),252,65,Demographics
April,1856,Dangerous buildings reported/secured,9,65,Public Service
April,1856,Streets repair requested ,6,65,Public Service
April,1856,Sidewalks repaired,46,65,Public Service
April,1856,"Drains,vaults,nuisances reported",13,65,Public Service
April,1856,Dangerous buildings reported/secured,1,65,Public Service
April,1856,Water Pipes burst secured,5,65,Public Service
April,1856,Defective Street Lamps Repaired/Reported,4,65,Public Service
April,1856,Defective Street Lamps Repaired/Reported,5,65,Public Service
April,1856,Number of fires on the station,2,65,Public Service
April,1856,Fires alarms given by officers,1,65,Public Service
April,1856,Fires extinguished by officers without alarms,1,65,Public Service
April,1856,Stores found open and secured ,23,65,Public Service
April,1856,Stray Teams Put up,12,65,Public Service
April,1856,Injured persons provided for,8,65,Public Service
April,1856,Lost children returned,9,65,Public Service
April,1856,Disturbances Suppressed,164,65,Public Service
April,1856,Assaults and Battery,21,65,Offences
April,1856,Assaults on Officers,2,65,Offences
April,1856,Common Drunkenness (drunkards),33,65,Offences
April,1856,Common Night Walkers,11,65,Offences
April,1856,Counterfeit money passing,2,65,Offences
April,1856,Drunkenness (Simple),124,65,Offences
April,1856,Forgery ,1,65,Offences
April,1856,Insane,1,65,Offences
April,1856,Idle & dissolute persons,1,65,Offences
April,1856,Keeping Houses of Ill Fame,7,65,Offences
April,1856,Keeping Noisy & Disorderly Houses,1,65,Offences
April,1856,Larceny (simple),18,65,Offences
April,1856,Larceny from persons etc,22,65,Offences
April,1856,Noisy and disorderly persons,173,65,Offences
April,1856,Stubborn & Truant Children,3,65,Offences
April,1856,Vagrancy,9,65,Offences
April,1856,Witnesses detained,9,65,Offences
April,1856,Embezzlement,1,65,Offences
April,1856,Female in male attire,1,65,Offences
April,1856,Amt property restored to prisoners (in $),812.8,65,Station and Court-related
April,1856,Amt property stolen on station (in $),1033.13,65,Station and Court-related
April,1856,Stolen Property Recovered (in $),696.47,65,Station and Court-related
April,1856,No. of larcenies on station,36,65,Offences
April,1856,No. of arrests for larcenies on station,33,65,Offences
April,1856,Amt fines imposed on Prisoners (in $),840,65,Station and Court-related
April,1856,Years imprisonment imposed on convicts,41.5,65,Station and Court-related
April,1856,Amt Witness fees has earned in court (in $),324.35,65,Station and Court-related
April,1856,Days time spent in court,212,65,Station and Court-related
May,1856,Lodging (Males),121,66,Demographics
May,1856,Lodging (Females),34,66,Demographics
May,1856,Lodging (Americans),26,66,Demographics
May,1856,Lodging (Foreigners),129,66,Demographics
May,1856,Lodging (Residents),72,66,Demographics
May,1856,Lodging (Non-residents),83,66,Demographics
May,1856,Lodging (Minor),37,66,Demographics
May,1856,Arrests (Males),364,66,Demographics
May,1856,Arrests (Females),125,66,Demographics
May,1856,Arrests (Americans),75,66,Demographics
May,1856,Arrests (Foreigners),414,66,Demographics
May,1856,Arrests (Residents),364,66,Demographics
May,1856,Arrests (Non-residents),125,66,Demographics
May,1856,Arrests (Minor),93,66,Demographics
May,1856,Arrests (Commitments),273,66,Demographics
May,1856,Streets repair requested ,6,66,Public Service
May,1856,Street Obstructions Removed,5,66,Public Service
May,1856,Sidewalks repaired,44,66,Public Service
May,1856,Dangerous buildings reported/secured,5,66,Public Service
May,1856,"Drains,vaults,nuisances reported",56,66,Public Service
May,1856,Water Pipes burst secured,3,66,Public Service
May,1856,Defective Street Lamps Repaired/Reported,2,66,Public Service
May,1856,Defective Street Lamps Repaired/Reported,3,66,Public Service
May,1856,Stores found open and secured ,18,66,Public Service
May,1856,Stray Teams Put up,5,66,Public Service
May,1856,Number of fires on the station,7,66,Public Service
May,1856,Fires extinguished by officers without alarms,3,66,Public Service
May,1856,Fires alarms given by officers,3,66,Public Service
May,1856,Injured persons provided for,19,66,Public Service
May,1856,Lost children returned,12,66,Public Service
May,1856,Disturbances Suppressed,192,66,Public Service
May,1856,Assaults and Battery,30,66,Offences
May,1856,Burglary,4,66,Offences
May,1856,Incendiaryism (incendiary),1,66,Offences
May,1856,Common Night Walkers,21,66,Offences
May,1856,Common Drunkenness (drunkards),27,66,Offences
May,1856,City Ordinance Violations,1,66,Offences
May,1856,Drunkenness (Simple),136,66,Offences
May,1856,Disturbing the Peace,7,66,Offences
May,1856,Fraud,4,66,Offences
May,1856,Highway robbery,1,66,Offences
May,1856,Idle & dissolute persons,1,66,Offences
May,1856,Insane,5,66,Offences
May,1856,Larceny (simple),27,66,Offences
May,1856,Larceny from persons etc,14,66,Offences
May,1856,Malicious mischief,1,66,Offences
May,1856,Noisy and disorderly persons,186,66,Offences
May,1856,Robbery,1,66,Offences
May,1856,Stubborn & Truant Children,2,66,Offences
May,1856,Vagabonds,10,66,Offences
May,1856,Witnesses detained,9,66,Offences
May,1856,Procuring abortion,1,66,Offences
May,1856,Amt property restored to prisoners (in $),545.25,66,Station and Court-related
May,1856,Amt property stolen on station (in $),562.3,66,Station and Court-related
May,1856,Stolen Property Recovered (in $),2488.98,66,Station and Court-related
May,1856,No. of larcenies on station,32,66,Offences
May,1856,No. of arrests for larcenies on station,28,66,Offences
May,1856,Amt fines imposed on Prisoners (in $),597,66,Station and Court-related
May,1856,Years imprisonment imposed on convicts,"38,7/12",66,Station and Court-related
May,1856,Amt Witness fees has earned in court (in $),202.18,66,Station and Court-related
May,1856,Days time spent in court,151,66,Station and Court-related
June,1856,Lodging (Males),58,67,Demographics
June,1856,Lodging (Females),39,67,Demographics
June,1856,Lodging (Americans),7,67,Demographics
June,1856,Lodging (Foreigners),90,67,Demographics
June,1856,Lodging (Residents),51,67,Demographics
June,1856,Lodging (Non-residents),46,67,Demographics
June,1856,Lodging (Minor),21,67,Demographics
June,1856,Arrests (Males),396,67,Demographics
June,1856,Arrests (Females),172,67,Demographics
June,1856,Arrests (Americans),74,67,Demographics
June,1856,Arrests (Foreigners),494,67,Demographics
June,1856,Arrests (Residents),460,67,Demographics
June,1856,Arrests (Non-residents),108,67,Demographics
June,1856,Arrests (Minor),118,67,Demographics
June,1856,Arrests (Commitments),343,67,Demographics
June,1856,Streets repair requested ,5,67,Public Service
June,1856,Defective Street Lamps Repaired/Reported,1,67,Public Service
June,1856,Defective Street Lamps Repaired/Reported,2,67,Public Service
